姩涓撳尯,#genre#
鍢変匠鍗￠€�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
浜戝崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
璐靛窞鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
瀹佸鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
鐢樿們鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
瑗胯棌鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
瀹夊鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
搴峰反鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
鏂扮枂鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
鍏靛洟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
寤惰竟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
鍐呰挋鍙ゅ崼瑙�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
搴峰反鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
鐢佃鎸囧崡,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
椋庝簯瓒崇悆,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
椋庝簯鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
椋庝簯闊充箰,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
澶鍙扮悆,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
绗竴鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
濂虫€ф椂灏�,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
鎬€鏃у墽鍦�,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
鍏靛櫒绉戞妧,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
楂樺皵澶綉鐞�,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
澶鏂囧寲绮惧搧,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
鍝掑暤鐢电珵,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226951/index.m3u8
鍝掑暤璧涗簨,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226954/index.m3u8
CHC楂樻竻鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC瀹跺涵褰遍櫌,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
闄曡タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
鍐滄灄鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
闄曡タ涓€濂�,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/1.m3u8
闄曡タ浜屽,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/1.m3u8
闄曡タ涓夊,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
闄曡タ鍥涘,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/1.m3u8
闄曡タ浜斿,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
闄曡タ鍏,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226362/1.m3u8
闄曡タ涓冨,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
闄曡タ鍏,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
瑗垮畨鏂伴椈缁煎悎,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
瑗垮畨閮藉競,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226367/1.m3u8
瑗垮畨鍟嗗姟璧勮,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
瑗垮畨褰辫,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
瑗垮畨涓濊矾,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226370/1.m3u8
瑗垮畨鏁欒偛,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/index.m3u8
鍜搁槼-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226372/index.m3u8
鏉ㄥ噷-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226373/index.m3u8
寤跺畨-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
寤跺畨-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
閾滃窛-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226379/1.m3u8
閾滃窛-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226380/1.m3u8
瀹濋浮-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
瀹濋浮-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
瀹佸己-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226390/1.m3u8
瀹佸己-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226389/1.m3u8
姹変腑-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
姹変腑-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/index.m3u8
浣涘潽-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8
闀囧反-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8
鐣ラ槼-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
瑗夸埂-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/index.m3u8
姒嗘灄-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
鍟嗘礇-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
娓崡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226376/1.m3u8
瀹夊悍-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8
绾疄浜烘枃,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
灞变笢鏁欒偛鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
缃笟棰戦亾,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226241/index.m3u8
浜鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
瀹跺涵鐞嗚储,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226244/index.m3u8
濂曞潶鏄ョ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
鍙戠幇涔嬫梾,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
鑰佹晠浜�,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8


馃洶IPV6鍜挄,#genre#
鍜挄鐩存挱-1銆孖PV6銆�,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225611/index.m3u8
鍜挄鐩存挱-2銆孖PV6銆�,http://[2409:8087:1a01:df::4005]/PLTV/88888888/224/3221225613/index.m3u8
鍜挄鐩存挱-3銆孖PV6銆�,http://[2409:8087:1a01:df::4014]/PLTV/88888888/224/3221225617/index.m3u8
鍜挄鐩存挱-4銆孖PV6銆�,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225619/index.m3u8
鍜挄鐩存挱-5銆孖PV6銆�,http://[2409:8087:1a01:df::4058]/PLTV/88888888/224/3221225620/index.m3u8
鍜挄鐩存挱-6銆孖PV6銆�,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225639/index.m3u8
鍜挄鐩存挱-7銆孖PV6銆�,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225641/index.m3u8
鍜挄鐩存挱-8銆孖PV6銆�,http://[2409:8087:1a01:df::4011]/PLTV/88888888/224/3221225643/index.m3u8
鍜挄鐩存挱-9銆孖PV6銆�,http://[2409:8087:1a01:df::4002]/PLTV/88888888/224/3221225645/index.m3u8
鍜挄鐩存挱-10銆孖PV6銆�,http://[2409:8087:1a01:df::4016]/PLTV/88888888/224/3221225647/index.m3u8
鍜挄鐩存挱-11銆孖PV6銆�,http://[2409:8087:1a01:df::4022]/PLTV/88888888/224/3221225648/index.m3u8
鍜挄鐩存挱-12銆孖PV6銆�,http://[2409:8087:1a01:df::4003]/PLTV/88888888/224/3221225649/index.m3u8
鍜挄鐩存挱-13銆孖PV6銆�,http://[2409:8087:1a01:df::4003]/PLTV/88888888/224/3221225650/index.m3u8
鍜挄鐩存挱-14銆孖PV6銆�,http://[2409:8087:1a01:df::4014]/PLTV/88888888/224/3221225652/index.m3u8
鍜挄鐩存挱-15銆孖PV6銆�,http://[2409:8087:1a01:df::4013]/PLTV/88888888/224/3221225653/index.m3u8
鍜挄鐩存挱-16銆孖PV6銆�,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225654/index.m3u8
鍜挄鐩存挱-17銆孖PV6銆�,http://[2409:8087:1a01:df::4019]/PLTV/88888888/224/3221225658/index.m3u8
鍜挄鐩存挱-18銆孖PV6銆�,http://[2409:8087:1a01:df::4012]/PLTV/88888888/224/3221225660/index.m3u8
鍜挄鐩存挱-19銆孖PV6銆�,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225662/index.m3u8
鍜挄鐩存挱-20銆孖PV6銆�,http://[2409:8087:1a01:df::4062]/PLTV/88888888/224/3221225733/index.m3u8
鍜挄鐩存挱-21銆孖PV6銆�,http://[2409:8087:1a01:df::4048]/PLTV/88888888/224/3221225735/index.m3u8
鍜挄鐩存挱-22銆孖PV6銆�,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225737/index.m3u8
鍜挄鐩存挱-23銆孖PV6銆�,http://[2409:8087:1a01:df::4074]/PLTV/88888888/224/3221225739/index.m3u8
鍜挄鐩存挱-24銆孖PV6銆�,http://[2409:8087:1a01:df::4070]/PLTV/88888888/224/3221225741/index.m3u8
鍜挄鐩存挱-25銆孖PV6銆�,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225745/index.m3u8
鍜挄鐩存挱-26銆孖PV6銆�,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225747/index.m3u8
鍜挄鐩存挱-27銆孖PV6銆�,http://[2409:8087:1a01:df::4039]/PLTV/88888888/224/3221225749/index.m3u8
鍜挄鐩存挱-28銆孖PV6銆�,http://[2409:8087:1a01:df::4030]/PLTV/88888888/224/3221225754/index.m3u8
鍜挄鐩存挱-29銆孖PV6銆�,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225756/index.m3u8
鍜挄鐩存挱-30銆孖PV6銆�,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225758/index.m3u8
鍜挄鐩存挱-31銆孖PV6銆�,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225760/index.m3u8
鍜挄鐩存挱-32銆孖PV6銆�,http://[2409:8087:1a01:df::4039]/PLTV/88888888/224/3221225762/index.m3u8
鍜挄鐩存挱-33銆孖PV6銆�,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225764/index.m3u8
鍜挄鐩存挱-34銆孖PV6銆�,http://[2409:8087:1a01:df::4027]/PLTV/88888888/224/3221225766/index.m3u8
鍜挄鐩存挱-35銆孖PV6銆�,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225768/index.m3u8
鍜挄鐩存挱-36銆孖PV6銆�,http://[2409:8087:1a01:df::4078]/PLTV/88888888/224/3221225782/index.m3u8
鍜挄鐩存挱-37銆孖PV6銆�,http://[2409:8087:1a01:df::4002]/PLTV/88888888/224/3221225895/index.m3u8
鍜挄鐩存挱-38銆孖PV6銆�,http://[2409:8087:1a01:df::4028]/PLTV/88888888/224/3221225897/index.m3u8
鍜挄鐩存挱-39銆孖PV6銆�,http://[2409:8087:1a01:df::4061]/PLTV/88888888/224/3221225899/index.m3u8
鍜挄鐩存挱-40銆孖PV6銆�,http://[2409:8087:1a01:df::4009]/PLTV/88888888/224/3221225901/index.m3u8
鍜挄鐩存挱-41銆孖PV6銆�,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225903/index.m3u8
鍜挄鐩存挱-42銆孖PV6銆�,http://[2409:8087:1a01:df::4079]/PLTV/88888888/224/3221225904/index.m3u8
鍜挄鐩存挱-43銆孖PV6銆�,http://[2409:8087:1a01:df::4051]/PLTV/88888888/224/3221225905/index.m3u8
鍜挄鐩存挱-44銆孖PV6銆�,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225906/index.m3u8
鍜挄鐩存挱-45銆孖PV6銆�,http://[2409:8087:1a01:df::4055]/PLTV/88888888/224/3221225910/index.m3u8
鍜挄鐩存挱-46銆孖PV6銆�,http://[2409:8087:1a01:df::4076]/PLTV/88888888/224/3221225912/index.m3u8
鍜挄鐩存挱-47銆孖PV6銆�,http://[2409:8087:1a01:df::4027]/PLTV/88888888/224/3221225914/index.m3u8
鍜挄鐩存挱-48銆孖PV6銆�,http://[2409:8087:1a01:df::4076]/PLTV/88888888/224/3221226027/index.m3u8
鍜挄鐩存挱-49銆孖PV6銆�,http://[2409:8087:1a01:df::4068]/PLTV/88888888/224/3221226031/index.m3u8
鍜挄鐩存挱-50銆孖PV6銆�,http://[2409:8087:1a01:df::4062]/PLTV/88888888/224/3221226046/index.m3u8
鍜挄鐩存挱-51銆孖PV6銆�,http://[2409:8087:1a01:df::4041]/PLTV/88888888/224/3221226053/index.m3u8
鍜挄鐩存挱-52銆孖PV6銆�,http://[2409:8087:1a01:df::404d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
鍜挄鐩存挱-53銆孖PV6銆�,http://[2409:8087:1a01:df::403b]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
鍜挄鐩存挱-54銆孖PV6銆�,http://[2409:8087:1a01:df::4033]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
鍜挄鐩存挱-55銆孖PV6銆�,http://[2409:8087:1a01:df::402a]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
鍜挄鐩存挱-56銆孖PV6銆�,http://[2409:8087:1a01:df::4046]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
